"","Prev(per100k)","Correct Prev","Target Inc","overall ARI, no mix","Incidence achieved, no mix","overall ARI, mix","low ARI, mix","high ARI, mix","Incidence achieved, mix"
"1",166,100,83,1.69,83.1730032653853,2.03,1.015,6.09,83.1491601174576
"2",332,200,166,3.74,165.895909399699,3.7,1.85,11.1,166.030207456916
"3",498,300,249,5.64,248.971205088556,4.99,2.495,14.97,246.891500362949
"4",664,400,332,7.27,331.856923359583,6.07,3.035,18.21,324.368051704354
"5",830,500,415,8.7,415.240966126247,7.02,3.51,21.06,398.262028562943
"6",996,600,498,9.97,498.262693049171,7.87,3.935,23.61,467.910733994707
"7",1162,700,581,11.12,580.963627518114,8.65,4.325,25.95,534.155616857009
"8",1328,800,664,12.18,663.641755499351,9.37,4.685,28.11,596.926471194511
"9",1494,900,747,13.18,747.374824498786,10.05,5.025,30.15,657.413165449478
"10",1660,1000,830,14.11,830.27969265194,10.68,5.34,32.04,714.352788399486
