"","","prevs","incidence.goal","ARI.overall","ARI.low","ARI.high","incidence.achieved"
"1",100,166,83,2.03,1.015,6.09,83.1491601174576
"2",200,332,166,3.7,1.85,11.1,166.030207456916
"3",300,498,249,5.02,2.51,15.06,248.933486934454
"4",400,664,332,6.17,3.085,18.51,331.918519697851
"5",500,830,415,7.23,3.615,21.69,415.190769207345
"6",600,996,498,8.23,4.115,24.69,498.236321475835
"7",700,1162,581,9.19,4.595,27.57,581.102838602184
"8",800,1328,664,10.12,5.06,30.36,663.69919823987
"9",900,1494,747,11.04,5.52,33.12,747.237889511177
"10",1000,1660,830,11.94,5.97,35.82,830.443129380182
